time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763687791.5501595,forward,0,0,347.0,10,10
1763687791.6002774,forward,-2,-1,347.0,10,10
1763687791.6503909,forward,-9,-6,346.875,10,10
1763687791.7005026,forward,-6,-9,346.9375,10,10
1763687791.7506166,forward,-11,-9,346.9375,10,10
1763687791.800734,forward,-10,-10,346.875,10,10
1763687791.8508494,forward,-12,-11,346.875,10,10
1763687791.90096,forward,-12,-12,346.875,10,10
1763687791.9510717,forward,-13,-13,346.875,10,10
1763687792.0011852,forward,-15,-15,346.8125,10,10
1763687792.0512974,forward,-13,-12,346.8125,10,10
1763687792.101409,forward,-14,-13,346.75,10,10
1763687792.1515236,forward,-15,-14,346.75,10,10
1763687792.20164,forward,-16,-15,346.6875,10,11
1763687792.2517533,forward,-16,-15,346.6875,10,11
1763687792.3018658,forward,-16,-16,346.625,10,11
1763687792.3519778,forward,-15,-14,346.625,10,12
1763687792.4020917,forward,-17,-16,346.5625,10,12
1763687792.4522147,forward,-16,-17,346.5625,10,12
1763687792.5023293,forward,-17,-17,346.5625,10,12
1763687792.552444,forward,-17,-15,346.5625,10,13
1763687792.602554,forward,-17,-17,346.5625,10,13
1763687792.6526725,forward,-17,-17,346.5625,10,13
1763687792.7027843,forward,-18,-18,346.5625,10,13
1763687792.752896,forward,-17,-17,346.5625,10,14
1763687792.8030086,forward,-18,-18,346.5625,10,14
1763687792.8531218,forward,-19,-20,346.625,10,14
1763687792.9032295,forward,-18,-20,346.625,10,15
1763687792.9533405,forward,-19,-20,346.625,10,15
1763687793.003452,forward,-19,-22,346.625,10,15
1763687793.0535634,forward,-18,-21,346.6875,10,15
1763687793.1036737,forward,-20,-23,346.75,10,15
1763687793.1537848,forward,-19,-22,346.75,10,15
1763687793.2038963,forward,-20,-22,346.8125,10,15
1763687793.2540064,forward,-21,-21,346.8125,10,15
1763687793.3041186,forward,-20,-21,346.8125,10,15
1763687793.3542295,forward,-20,-21,346.875,10,15
1763687793.404341,forward,-20,-21,346.875,10,15
1763687793.4544523,forward,-20,-22,346.9375,10,15
1763687793.504565,forward,-20,-20,346.9375,10,15
1763687793.5546772,forward,-20,-20,346.9375,10,15
1763687793.6047873,forward,-20,-20,346.9375,10,15
1763687793.6548991,forward,-20,-20,346.9375,10,15
1763687793.705011,forward,-19,-20,346.9375,10,15
1763687793.7551231,forward,-19,-19,346.9375,10,15
1763687793.8052359,forward,-20,-20,346.9375,10,15
1763687793.8553479,forward,-20,-20,346.9375,10,15
1763687793.9054565,forward,-22,-20,346.9375,10,15
1763687793.9555697,forward,-20,-20,346.875,10,15
1763687794.0056825,forward,-20,-21,346.9375,10,15
1763687794.0557935,forward,-20,-19,346.9375,10,15
1763687794.105906,forward,-20,-19,346.9375,10,15
1763687794.1560187,forward,-21,-21,346.875,10,15
1763687794.2061598,forward,-19,-21,346.9375,10,15
1763687794.2562847,forward,-20,-20,346.9375,10,15
1763687794.306401,forward,-20,-21,346.9375,10,15
1763687794.356516,forward,-20,-24,346.9375,10,15
1763687794.4066315,forward,-20,-21,347.0,10,15
1763687794.456752,forward,-20,-20,347.0,10,15
1763687794.5068688,forward,-21,-22,347.0,10,15
1763687794.556984,forward,-20,-20,347.0625,10,15
1763687794.6070988,forward,-20,-21,347.0625,10,15
1763687794.6572137,forward,-21,-21,347.0625,10,15
1763687794.7073298,forward,-20,-22,347.125,10,15
1763687794.757446,forward,-21,-22,347.125,10,15
1763687794.8075626,forward,-21,-22,347.125,10,15
1763687794.8576784,forward,-22,-21,347.125,10,15
1763687794.9077897,forward,-20,-19,347.125,10,15
1763687794.9579065,forward,-21,-20,347.1875,10,15
1763687795.0080235,forward,-21,-20,347.125,10,15
1763687795.0581403,forward,-20,-20,347.125,10,15
1763687795.108257,forward,-20,-19,347.1875,10,15
