time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763696181.9509773,forward,0,0,308.0,25,25
1763696182.0010948,forward,-10,-5,308.0,25,25
1763696182.0512123,forward,-32,-32,307.6875,25,25
1763696182.1013246,forward,-33,-31,307.375,25,26
1763696182.1522882,forward,-44,-44,307.375,25,26
1763696182.2024035,forward,-48,-48,307.375,25,26
1763696182.2525177,forward,-51,-52,307.375,25,27
1763696182.302631,forward,-53,-53,307.3125,25,27
1763696182.352744,forward,-54,-54,307.25,25,27
1763696182.4028566,forward,-56,-54,307.25,25,27
1763696182.4529686,forward,-55,-55,307.25,25,28
1763696182.503079,forward,-55,-55,307.1875,25,28
1763696182.5531905,forward,-56,-57,307.25,25,28
1763696182.603303,forward,-56,-56,307.3125,25,29
1763696182.653415,forward,-57,-57,307.375,25,29
1763696182.703527,forward,-57,-58,307.375,25,29
1763696182.753639,forward,-57,-59,307.375,25,29
1763696182.8037584,forward,-57,-59,307.625,25,30
1763696182.8538735,forward,-56,-58,307.625,25,30
1763696182.9039905,forward,-57,-58,307.625,25,30
1763696182.954104,forward,-57,-58,307.625,25,30
1763696183.0042186,forward,-58,-58,307.5625,25,31
1763696183.0543313,forward,-62,-63,307.5625,25,31
1763696183.104445,forward,-57,-61,307.625,25,31
1763696183.1545575,forward,-57,-60,307.6875,25,32
1763696183.204671,forward,-58,-62,307.75,25,32
1763696183.2547836,forward,-58,-58,307.75,25,32
1763696183.3048975,forward,-59,-60,307.75,25,32
1763696183.3550107,forward,-59,-62,307.6875,25,32
1763696183.4051247,forward,-59,-62,307.75,25,32
1763696183.4552374,forward,-59,-62,307.8125,25,32
1763696183.5053492,forward,-58,-66,307.75,25,32
1763696183.5554626,forward,-59,-62,307.8125,25,32
1763696183.6055756,forward,-58,-62,307.8125,25,32
1763696183.6556888,forward,-59,-63,307.875,25,32
1763696183.7058003,forward,-59,-63,308.0625,25,32
1763696183.7559133,forward,-59,-62,308.1875,25,32
1763696183.8060262,forward,-60,-62,308.3125,25,32
1763696183.8561373,forward,-59,-61,308.3125,25,32
1763696183.9062493,forward,-58,-63,308.5,25,31
1763696183.9563613,forward,-57,-62,308.625,25,31
1763696184.0064733,forward,-59,-60,308.625,25,31
1763696184.0565858,forward,-59,-59,308.5625,25,30
1763696184.106699,forward,-58,-58,308.625,25,30
1763696184.15681,forward,-58,-59,308.6875,25,30
1763696184.2069242,forward,-57,-60,308.6875,25,30
1763696184.2570384,forward,-57,-59,308.75,25,29
1763696184.30715,forward,-58,-59,308.75,25,29
1763696184.357262,forward,-58,-56,308.6875,25,29
1763696184.4073746,forward,-57,-58,308.625,25,28
1763696184.4574866,forward,-57,-56,308.625,25,28
1763696184.5075982,forward,-57,-56,308.5625,25,28
1763696184.5577242,forward,-57,-56,308.5,25,27
1763696184.607838,forward,-57,-56,308.4375,25,27
1763696184.657951,forward,-57,-54,308.25,25,27
1763696184.7080646,forward,-56,-55,308.1875,25,27
1763696184.7581763,forward,-56,-55,308.25,25,27
1763696184.8082888,forward,-56,-55,308.3125,25,27
1763696184.8584025,forward,-60,-55,308.375,25,27
1763696184.9085183,forward,-56,-55,308.375,25,26
1763696184.9586322,forward,-56,-55,308.3125,25,26
1763696185.0087457,forward,-56,-54,308.375,25,26
1763696185.0588586,forward,-56,-54,308.5,25,26
1763696185.1089716,forward,-54,-52,308.4375,25,25
1763696185.1590834,forward,-56,-52,308.3125,25,25
1763696185.209197,forward,-54,-50,308.1875,25,25
1763696185.2593105,forward,-54,-54,308.125,25,25
1763696185.3094225,forward,-53,-52,308.125,25,25
1763696185.3595343,forward,-54,-51,308.0625,25,25
1763696185.409645,forward,-53,-51,308.125,25,25
1763696185.4597578,forward,-54,-50,308.0,25,25
1763696185.5098689,forward,-54,-51,307.9375,25,25
1763696185.5599816,forward,-54,-51,307.8125,25,25
1763696185.610094,forward,-54,-51,307.625,25,25
1763696185.6602068,forward,-54,-51,307.5625,25,26
1763696185.7103183,forward,-54,-51,307.5,25,26
1763696185.7604322,forward,-54,-52,307.375,25,26
1763696185.8105526,forward,-54,-53,307.3125,25,27
1763696185.8606684,forward,-55,-53,307.1875,25,27
1763696185.910782,forward,-56,-55,307.1875,25,27
1763696185.9608939,forward,-55,-54,307.1875,25,28
1763696186.0110161,forward,-56,-56,307.25,25,28
1763696186.061132,forward,-56,-56,307.3125,25,28
1763696186.1112459,forward,-56,-57,307.3125,25,28
1763696186.1613584,forward,-56,-57,307.3125,25,29
1763696186.211472,forward,-57,-59,307.4375,25,29
1763696186.261586,forward,-56,-57,307.5625,25,29
1763696186.3116972,forward,-56,-58,307.625,25,29
1763696186.361807,forward,-57,-57,307.625,25,30
1763696186.4119184,forward,-57,-57,307.5,25,30
1763696186.4620311,forward,-58,-58,307.5625,25,30
1763696186.512142,forward,-57,-59,307.5625,25,30
1763696186.5622556,forward,-57,-60,307.625,25,31
1763696186.612367,forward,-61,-59,307.625,25,31
1763696186.6624784,forward,-57,-61,307.6875,25,31
1763696186.7125893,forward,-59,-60,307.6875,25,32
1763696186.7627006,forward,-59,-61,307.5625,25,32
1763696186.8128116,forward,-59,-61,307.625,25,32
1763696186.8629236,forward,-58,-62,307.625,25,33
1763696186.913034,forward,-58,-62,307.6875,25,33
1763696186.9631453,forward,-58,-65,307.6875,25,33
1763696187.0132709,forward,-60,-63,307.6875,25,34
1763696187.0633838,forward,-59,-69,307.8125,25,34
1763696187.1134968,forward,-60,-65,307.9375,25,34
1763696187.163609,forward,-60,-66,308.1875,25,34
1763696187.2137218,forward,-60,-65,308.3125,25,34
1763696187.2638347,forward,-60,-65,308.4375,25,34
1763696187.313946,forward,-59,-65,308.5,25,34
1763696187.3640559,forward,-60,-66,308.625,25,33
1763696187.414167,forward,-59,-65,308.875,25,33
1763696187.4642787,forward,-59,-62,308.9375,25,33
1763696187.5143895,forward,-60,-63,308.875,25,32
1763696187.5645018,forward,-59,-62,309.0,25,32
1763696187.6146142,forward,-59,-63,309.0625,25,32
1763696187.664728,forward,-59,-63,309.0625,25,32
1763696187.7148404,forward,-59,-61,309.125,25,30
1763696187.7649508,forward,-58,-61,309.1875,25,30
1763696187.815061,forward,-59,-60,309.125,25,30
1763696187.8651726,forward,-59,-59,309.0625,25,30
1763696187.9152844,forward,-58,-58,309.0,25,29
1763696187.9653955,forward,-57,-59,309.0625,25,29
1763696188.0155103,forward,-58,-58,309.0,25,29
1763696188.065622,forward,-58,-56,308.875,25,28
1763696188.1157372,forward,-57,-58,308.8125,25,28
1763696188.1658494,forward,-57,-56,308.875,25,28
1763696188.2159615,forward,-57,-58,308.9375,25,28
1763696188.266076,forward,-57,-56,309.0,25,27
1763696188.3161886,forward,-57,-56,309.0625,25,27
1763696188.366299,forward,-58,-55,309.0,25,27
1763696188.4164124,forward,-60,-55,309.0625,25,25
1763696188.4665244,forward,-56,-54,309.125,25,25
1763696188.5166361,forward,-54,-51,309.0,25,25
1763696188.566748,forward,-54,-50,308.875,25,25
1763696188.6168587,forward,-54,-50,308.75,25,24
1763696188.6669707,forward,-53,-50,308.6875,25,24
1763696188.717082,forward,-54,-49,308.6875,25,24
1763696188.7671955,forward,-54,-50,308.625,25,23
1763696188.8173168,forward,-52,-52,308.5625,25,23
1763696188.8674488,forward,-53,-48,308.4375,25,23
1763696188.9175608,forward,-52,-48,308.3125,25,22
1763696188.9676719,forward,-52,-48,308.1875,25,22
1763696189.017785,forward,-53,-46,308.0625,25,22
1763696189.067898,forward,-53,-47,307.875,25,22
1763696189.1180096,forward,-52,-46,307.6875,25,22
1763696189.1681218,forward,-51,-46,307.5625,25,22
1763696189.218236,forward,-51,-46,307.4375,25,23
1763696189.2683477,forward,-53,-47,307.25,25,23
1763696189.31846,forward,-52,-48,307.0625,25,23
1763696189.368572,forward,-52,-49,307.0,25,24
1763696189.4186835,forward,-51,-49,307.0,25,24
1763696189.4687939,forward,-51,-50,307.0625,25,24
1763696189.518906,forward,-53,-50,307.0625,25,24
1763696189.5690174,forward,-53,-51,307.0,25,25
1763696189.6191285,forward,-54,-51,307.0,25,25
1763696189.66924,forward,-51,-51,307.0,25,25
1763696189.719352,forward,-53,-51,307.125,25,25
1763696189.769465,forward,-53,-52,307.125,25,26
1763696189.819576,forward,-53,-51,307.0625,25,26
1763696189.869688,forward,-54,-51,306.9375,25,26
1763696189.9198005,forward,-54,-52,306.875,25,26
1763696189.969912,forward,-54,-54,306.875,25,28
1763696190.020024,forward,-54,-55,306.875,25,28
1763696190.070136,forward,-55,-56,306.875,25,28
1763696190.1202486,forward,-56,-55,306.875,25,28
1763696190.1703653,forward,-56,-56,306.875,25,30
1763696190.220478,forward,-56,-58,306.75,25,30
1763696190.2705915,forward,-57,-60,306.75,25,30
1763696190.3207028,forward,-57,-60,306.75,25,32
1763696190.3708124,forward,-57,-60,306.75,25,32
1763696190.420924,forward,-58,-62,306.8125,25,32
1763696190.4710362,forward,-58,-63,306.8125,25,32
1763696190.5211482,forward,-60,-61,306.8125,25,34
1763696190.5712612,forward,-60,-63,306.875,25,34
1763696190.6213727,forward,-59,-66,307.0625,25,34
1763696190.6714854,forward,-63,-69,307.1875,25,35
1763696190.7215984,forward,-61,-66,307.3125,25,35
1763696190.7717097,forward,-59,-68,307.5625,25,35
1763696190.8218222,forward,-60,-69,307.8125,25,35
1763696190.8719342,forward,-60,-66,307.9375,25,35
1763696190.922048,forward,-60,-67,308.1875,25,35
1763696190.9721584,forward,-60,-65,308.25,25,35
1763696191.022273,forward,-61,-66,308.25,25,35
1763696191.0723867,forward,-60,-68,308.375,25,35
1763696191.1224992,forward,-60,-68,308.5,25,35
1763696191.1726103,forward,-60,-66,308.625,25,34
1763696191.2227225,forward,-60,-66,308.6875,25,34
1763696191.2728345,forward,-60,-67,308.8125,25,34
1763696191.3229444,forward,-62,-66,308.8125,25,33
1763696191.3730564,forward,-61,-65,308.875,25,33
1763696191.423166,forward,-59,-64,308.875,25,33
1763696191.4732769,forward,-59,-64,309.0,25,32
1763696191.523388,forward,-59,-63,309.0,25,32
1763696191.5734982,forward,-60,-62,308.9375,25,32
1763696191.6236098,forward,-60,-63,309.0,25,31
1763696191.673722,forward,-59,-62,309.1875,25,31
1763696191.7238328,forward,-59,-62,309.3125,25,31
1763696191.7739444,forward,-59,-61,309.375,25,31
1763696191.82406,forward,-59,-62,309.4375,25,29
1763696191.8741717,forward,-57,-61,309.625,25,29
1763696191.9242861,forward,-58,-57,309.625,25,29
1763696191.9743984,forward,-58,-58,309.6875,25,29
1763696192.0245113,forward,-61,-57,309.75,25,27
1763696192.0746324,forward,-58,-57,309.6875,25,27
1763696192.1247463,forward,-56,-59,309.625,25,27
1763696192.1748595,forward,-53,-51,309.5625,25,27
1763696192.2249715,forward,-56,-55,309.5,25,25
1763696192.2750814,forward,-56,-53,309.5625,25,25
1763696192.3251913,forward,-55,-52,309.4375,25,25
1763696192.3753026,forward,-56,-53,309.375,25,25
1763696192.4254143,forward,-58,-54,309.25,25,23
1763696192.4755266,forward,-56,-50,309.125,25,23
1763696192.5256405,forward,-54,-48,308.9375,25,23
1763696192.5757523,forward,-54,-48,308.8125,25,23
1763696192.6258643,forward,-52,-48,308.625,25,22
1763696192.6759772,forward,-53,-46,308.4375,25,22
1763696192.7260916,forward,-53,-46,308.25,25,22
1763696192.7762043,forward,-53,-46,308.1875,25,22
1763696192.826317,forward,-51,-47,308.0625,25,22
1763696192.87643,forward,-52,-46,308.125,25,22
1763696192.9265437,forward,-52,-46,308.0625,25,22
1763696192.9766595,forward,-53,-47,308.0,25,22
1763696193.0267727,forward,-51,-48,308.0,25,22
1763696193.0768852,forward,-50,-47,308.0,25,22
1763696193.1269982,forward,-51,-47,308.0,25,22
1763696193.1771119,forward,-51,-47,307.9375,25,22
1763696193.2272246,forward,-50,-46,307.8125,25,22
1763696193.2773378,forward,-51,-46,307.6875,25,22
1763696193.3274517,forward,-50,-47,307.625,25,23
1763696193.3775642,forward,-51,-47,307.5625,25,23
1763696193.4276743,forward,-50,-49,307.5,25,23
1763696193.4777853,forward,-51,-48,307.5,25,23
1763696193.5278986,forward,-51,-48,307.375,25,24
1763696193.5780096,forward,-52,-48,307.3125,25,24
1763696193.628121,forward,-52,-50,307.25,25,24
1763696193.6782334,forward,-52,-50,307.1875,25,24
1763696193.7283475,forward,-54,-50,307.0625,25,25
1763696193.7784588,forward,-53,-50,306.875,25,25
1763696193.8285708,forward,-53,-50,306.75,25,25
1763696193.878684,forward,-53,-51,306.6875,25,27
1763696193.9287949,forward,-53,-53,306.5625,25,27
1763696193.9789076,forward,-54,-53,306.5,25,27
1763696194.029019,forward,-56,-54,306.4375,25,27
1763696194.0791302,forward,-55,-54,306.375,25,29
1763696194.1292431,forward,-56,-56,306.4375,25,29
1763696194.1793547,forward,-56,-59,306.5,25,29
1763696194.2294674,forward,-60,-61,306.5,25,31
1763696194.27958,forward,-56,-61,306.6875,25,31
1763696194.3296947,forward,-56,-61,306.875,25,31
1763696194.3798077,forward,-57,-61,307.0,25,31
1763696194.4299202,forward,-58,-60,307.0625,25,32
1763696194.4800317,forward,-58,-61,307.125,25,32
1763696194.530144,forward,-58,-61,307.125,25,32
1763696194.580256,forward,-59,-62,307.125,25,32
1763696194.630369,forward,-58,-62,307.1875,25,33
1763696194.6804802,forward,-58,-63,307.1875,25,33
1763696194.7305913,forward,-58,-63,307.25,25,33
1763696194.7807019,forward,-59,-64,307.375,25,34
1763696194.8308167,forward,-60,-65,307.5,25,34
1763696194.8809295,forward,-60,-66,307.5625,25,34
1763696194.9310427,forward,-60,-64,307.5625,25,34
1763696194.9811542,forward,-59,-66,307.625,25,35
1763696195.0312676,forward,-58,-66,307.75,25,35
1763696195.0813804,forward,-60,-66,307.75,25,35
