label,delta_encL,delta_encR,heading,cmdL,cmdR
forward,-30,-28,350.4375,15,15
forward,-28,-27,350.5,15,15
forward,-28,-28,350.5,15,15
forward,-28,-28,350.5,15,15
forward,-29,-27,350.5,15,16
forward,-29,-27,350.5,15,16
forward,-29,-28,350.5625,15,16
forward,-30,-28,350.5625,15,16
forward,-31,-29,350.5625,15,16
forward,-31,-30,350.5,15,16
forward,-31,-29,350.5,15,17
forward,-30,-30,350.5625,15,17
forward,-28,-30,350.5625,15,17
forward,-30,-27,350.5625,15,17
forward,-28,-29,350.625,15,17
forward,-30,-30,350.625,15,17
forward,-29,-28,350.625,15,17
forward,-30,-30,350.625,15,17
forward,-30,-28,350.5625,15,17
forward,-31,-30,350.5,15,17
forward,-31,-30,350.5,15,17
forward,-31,-30,350.5,15,17
forward,-31,-30,350.5,15,18
forward,-31,-30,350.4375,15,18
forward,-30,-32,350.5,15,18
forward,-32,-31,350.4375,15,18
forward,-30,-31,350.5,15,19
forward,-33,-35,350.5,15,19
forward,-31,-33,350.4375,15,19
forward,-32,-33,350.4375,15,20
forward,-32,-34,350.4375,15,20
forward,-32,-33,350.5,15,20
forward,-34,-34,350.375,15,21
forward,-34,-34,350.4375,15,21
forward,-34,-34,350.375,15,21
forward,-33,-34,350.4375,15,21
forward,-33,-35,350.375,15,22
forward,-34,-35,350.375,15,22
forward,-34,-35,350.4375,15,22
forward,-34,-36,350.375,15,22
forward,-34,-37,350.4375,15,23
forward,-34,-36,350.375,15,23
forward,-35,-39,350.4375,15,23
forward,-34,-38,350.5,15,23
forward,-35,-39,350.6875,15,23
forward,-34,-36,350.6875,15,23
forward,-36,-38,350.8125,15,23
forward,-35,-36,350.875,15,23
forward,-35,-41,350.9375,15,23
forward,-36,-37,351,15,23
forward,-36,-36,351.125,15,23
forward,-33,-36,351.1875,15,22
forward,-33,-39,351.3125,15,22
forward,-36,-35,351.25,15,22
forward,-34,-36,351.375,15,21
forward,-33,-34,351.4375,15,21
forward,-34,-34,351.4375,15,21
forward,-33,-34,351.4375,15,20
forward,-35,-34,351.5,15,20
forward,-33,-33,351.375,15,20
forward,-33,-33,351.4375,15,20
forward,-32,-34,351.4375,15,19
forward,-33,-32,351.4375,15,19
forward,-32,-33,351.4375,15,19
forward,-32,-32,351.4375,15,18
forward,-32,-32,351.4375,15,18
forward,-32,-31,351.375,15,18
forward,-32,-31,351.375,15,18
forward,-31,-31,351.3125,15,17
forward,-32,-30,351.3125,15,17
forward,-32,-30,351.1875,15,17
forward,-31,-29,351.0625,15,17
forward,-32,-30,351.0625,15,17
forward,-31,-28,351,15,17
forward,-30,-29,350.9375,15,17
forward,-31,-28,350.875,15,17
forward,-30,-29,350.875,15,17
forward,-30,-29,350.875,15,17
forward,-31,-29,350.6875,15,17
forward,-31,-30,350.6875,15,17
forward,-32,-29,350.5625,15,17
forward,-33,-32,350.5625,15,17
forward,-31,-30,350.5625,15,17
forward,-30,-29,350.5,15,18
forward,-30,-29,350.5,15,18
forward,-30,-30,350.5,15,18
forward,-30,-30,350.5625,15,18
forward,-30,-30,350.5625,15,18
forward,-32,-31,350.5625,15,18
forward,-31,-31,350.5625,15,18
forward,-31,-32,350.5625,15,18
forward,-32,-32,350.625,15,18
forward,-31,-30,350.6875,15,18
forward,-30,-30,350.75,15,18
forward,-29,-28,350.75,15,18
forward,-30,-30,350.8125,15,18
