time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763696465.0553823,forward,0,0,308.875,30,30
1763696465.1055024,forward,-6,-4,308.875,30,30
1763696465.1556199,forward,-40,-42,308.5625,30,30
1763696465.2057383,forward,-43,-43,308.25,30,32
1763696465.2558563,forward,-57,-57,308.1875,30,32
1763696465.3059754,forward,-56,-57,308.25,30,32
1763696465.3560963,forward,-65,-64,308.25,30,34
1763696465.4062157,forward,-67,-68,308.25,30,34
1763696465.4563339,forward,-67,-70,308.375,30,34
1763696465.5064514,forward,-69,-71,308.4375,30,34
1763696465.5565681,forward,-70,-71,308.5,30,36
1763696465.6066856,forward,-69,-73,308.625,30,36
1763696465.6568036,forward,-71,-74,308.625,30,36
1763696465.706921,forward,-72,-72,308.6875,30,36
1763696465.7570386,forward,-70,-73,308.8125,30,36
1763696465.807155,forward,-71,-73,308.8125,30,36
1763696465.857273,forward,-71,-72,308.8125,30,36
1763696465.9074173,forward,-72,-72,308.75,30,36
1763696465.9575343,forward,-70,-72,308.8125,30,36
1763696466.0076492,forward,-71,-72,308.75,30,36
1763696466.0577672,forward,-71,-73,308.8125,30,36
1763696466.107885,forward,-77,-79,308.75,30,36
1763696466.1579983,forward,-67,-68,308.75,30,36
1763696466.2081099,forward,-70,-71,308.75,30,36
1763696466.2582216,forward,-71,-72,308.5625,30,36
1763696466.3083355,forward,-71,-74,308.5625,30,36
1763696466.3584442,forward,-71,-73,308.6875,30,36
1763696466.4085557,forward,-71,-73,308.8125,30,36
1763696466.458669,forward,-70,-73,308.875,30,36
1763696466.5087802,forward,-72,-74,309.0,30,36
1763696466.5588958,forward,-77,-78,309.0,30,36
1763696466.6090093,forward,-72,-73,309.125,30,36
1763696466.6591625,forward,-70,-72,309.1875,30,36
1763696466.7093065,forward,-69,-71,309.1875,30,36
1763696466.7594213,forward,-72,-72,309.1875,30,34
1763696466.8095362,forward,-71,-71,309.125,30,34
1763696466.8596518,forward,-71,-70,309.1875,30,34
1763696466.9097662,forward,-70,-71,309.125,30,34
1763696466.959881,forward,-70,-71,309.125,30,34
1763696467.0099926,forward,-70,-70,309.0,30,34
1763696467.0601077,forward,-71,-70,309.0,30,34
1763696467.1102223,forward,-70,-67,308.9375,30,34
1763696467.1603367,forward,-69,-68,308.8125,30,34
1763696467.2104516,forward,-70,-70,308.6875,30,34
1763696467.260565,forward,-70,-71,308.6875,30,34
1763696467.3106794,forward,-69,-70,308.8125,30,34
1763696467.36079,forward,-70,-68,308.875,30,34
1763696467.4109035,forward,-69,-70,308.9375,30,34
1763696467.4610174,forward,-70,-71,309.0,30,34
1763696467.5111306,forward,-71,-70,309.0,30,34
1763696467.5612442,forward,-70,-70,309.125,30,34
1763696467.611357,forward,-69,-69,309.1875,30,34
1763696467.6614702,forward,-69,-67,309.0625,30,34
1763696467.7115827,forward,-69,-69,309.0,30,34
1763696467.761695,forward,-70,-69,309.0,30,34
1763696467.8118083,forward,-70,-69,309.0,30,34
1763696467.861937,forward,-74,-70,309.0,30,34
1763696467.912051,forward,-69,-71,309.0,30,34
1763696467.9621644,forward,-70,-70,308.875,30,34
1763696468.0122776,forward,-70,-69,308.8125,30,34
1763696468.062389,forward,-70,-68,308.8125,30,34
1763696468.1125023,forward,-69,-68,308.6875,30,34
1763696468.162614,forward,-70,-69,308.625,30,34
1763696468.212726,forward,-70,-71,308.625,30,34
1763696468.2628374,forward,-69,-71,308.6875,30,34
1763696468.3129494,forward,-70,-74,308.8125,30,34
1763696468.36306,forward,-70,-70,308.875,30,34
1763696468.4131746,forward,-70,-70,308.9375,30,34
1763696468.4632862,forward,-70,-69,309.0,30,34
1763696468.5133991,forward,-69,-69,309.0625,30,34
1763696468.5635135,forward,-69,-68,309.0,30,34
1763696468.6136274,forward,-69,-69,308.875,30,34
1763696468.663741,forward,-70,-69,308.875,30,34
1763696468.7138543,forward,-69,-69,308.875,30,34
1763696468.7639692,forward,-69,-69,308.875,30,34
1763696468.814084,forward,-70,-70,308.9375,30,34
1763696468.864198,forward,-70,-70,308.8125,30,34
1763696468.9143121,forward,-70,-70,308.75,30,34
1763696468.9644275,forward,-69,-69,308.625,30,34
1763696469.0145404,forward,-70,-69,308.625,30,34
1763696469.0646555,forward,-69,-68,308.5625,30,34
1763696469.1147845,forward,-70,-70,308.5,30,36
1763696469.1648984,forward,-69,-71,308.5625,30,36
1763696469.2150142,forward,-69,-72,308.625,30,36
1763696469.2651289,forward,-70,-73,308.75,30,36
1763696469.315243,forward,-71,-73,308.875,30,36
1763696469.3653545,forward,-71,-73,308.875,30,36
1763696469.4154704,forward,-70,-72,309.125,30,36
1763696469.4655855,forward,-69,-71,309.125,30,36
1763696469.5156982,forward,-71,-71,309.0625,30,36
1763696469.5658126,forward,-71,-72,309.0625,30,36
1763696469.6159294,forward,-75,-78,309.0625,30,36
1763696469.6660428,forward,-71,-72,309.125,30,36
1763696469.7161562,forward,-70,-73,309.1875,30,34
1763696469.7662687,forward,-70,-73,309.1875,30,34
1763696469.8163826,forward,-72,-70,309.125,30,34
1763696469.8664963,forward,-70,-68,309.0625,30,34
1763696469.9166093,forward,-70,-69,309.0,30,34
1763696469.9667234,forward,-69,-65,308.875,30,34
1763696470.016838,forward,-70,-69,308.8125,30,34
1763696470.066952,forward,-70,-74,308.8125,30,34
1763696470.1170652,forward,-69,-69,308.9375,30,34
1763696470.1671784,forward,-70,-70,309.0,30,34
1763696470.2172906,forward,-70,-71,309.0625,30,34
1763696470.2674394,forward,-70,-71,309.0625,30,34
1763696470.3175519,forward,-70,-69,309.125,30,34
1763696470.3676643,forward,-70,-70,309.3125,30,34
1763696470.4177759,forward,-68,-67,309.25,30,34
1763696470.467889,forward,-70,-69,309.125,30,34
1763696470.5180032,forward,-70,-69,309.125,30,34
1763696470.5681162,forward,-70,-70,309.125,30,34
1763696470.6182299,forward,-70,-70,309.125,30,34
1763696470.668343,forward,-69,-71,309.125,30,34
1763696470.718456,forward,-69,-71,309.0625,30,34
1763696470.768569,forward,-71,-69,309.0,30,34
1763696470.8186836,forward,-71,-68,308.9375,30,34
1763696470.8688114,forward,-69,-69,308.9375,30,34
1763696470.9189255,forward,-69,-70,308.8125,30,34
1763696470.9690409,forward,-70,-69,308.75,30,34
1763696471.019156,forward,-70,-71,308.75,30,34
1763696471.0692677,forward,-70,-68,308.875,30,34
