time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695877.2658706,forward,-31,-30,311.8125,15,19
1763695877.315982,forward,-33,-34,311.875,15,19
1763695877.3660932,forward,-32,-32,311.75,15,19
1763695877.4162028,forward,-31,-32,311.875,15,19
1763695877.466314,forward,-31,-32,311.875,15,19
1763695877.5164244,forward,-31,-32,311.875,15,19
1763695877.5665352,forward,-32,-30,311.875,15,19
1763695877.6166463,forward,-31,-31,311.8125,15,19
1763695877.666757,forward,-32,-31,311.8125,15,19
1763695877.7168677,forward,-31,-31,311.75,15,19
1763695877.7669797,forward,-32,-32,311.75,15,19
1763695877.817091,forward,-31,-31,311.6875,15,19
1763695877.867213,forward,-32,-33,311.6875,15,20
1763695877.9173272,forward,-32,-31,311.5625,15,20
1763695877.9674504,forward,-31,-32,311.625,15,20
1763695878.0175624,forward,-31,-31,311.5625,15,20
1763695878.0676732,forward,-32,-33,311.5625,15,21
1763695878.117785,forward,-32,-32,311.5625,15,21
1763695878.1678975,forward,-32,-32,311.5625,15,21
1763695878.218009,forward,-32,-34,311.5625,15,22
1763695878.2681203,forward,-33,-34,311.5,15,22
1763695878.3182325,forward,-34,-35,311.5,15,22
1763695878.3683436,forward,-33,-35,311.5,15,22
1763695878.4184556,forward,-33,-35,311.5625,15,23
1763695878.468567,forward,-33,-35,311.625,15,23
1763695878.5186787,forward,-33,-36,311.6875,15,23
1763695878.5687919,forward,-34,-38,311.8125,15,23
1763695878.618904,forward,-34,-37,311.875,15,23
1763695878.6690154,forward,-35,-37,311.9375,15,23
1763695878.7191262,forward,-34,-36,312.0,15,23
1763695878.7692385,forward,-34,-38,312.0,15,23
1763695878.8193507,forward,-34,-34,312.1875,15,23
1763695878.869462,forward,-32,-36,312.25,15,23
1763695878.9195738,forward,-33,-36,312.3125,15,23
1763695878.969684,forward,-34,-36,312.3125,15,23
1763695879.0197945,forward,-33,-36,312.375,15,22
1763695879.0699067,forward,-34,-36,312.5,15,22
1763695879.120018,forward,-37,-37,312.5,15,22
1763695879.1701305,forward,-34,-34,312.4375,15,21
1763695879.2202456,forward,-33,-35,312.5,15,21
1763695879.2703586,forward,-33,-34,312.4375,15,21
1763695879.320472,forward,-33,-35,312.5,15,21
1763695879.3705828,forward,-32,-34,312.5,15,20
1763695879.4206955,forward,-33,-34,312.5625,15,20
1763695879.4708064,forward,-32,-31,312.5625,15,20
1763695879.52092,forward,-32,-33,312.5625,15,19
1763695879.5710318,forward,-32,-32,312.5,15,19
1763695879.6211433,forward,-32,-32,312.5,15,19
1763695879.6712537,forward,-32,-33,312.5,15,19
1763695879.7213655,forward,-33,-32,312.5,15,18
1763695879.771476,forward,-32,-30,312.4375,15,18
1763695879.8215864,forward,-32,-31,312.4375,15,18
1763695879.8716967,forward,-31,-29,312.3125,15,18
1763695879.9218073,forward,-31,-30,312.25,15,18
1763695879.9719188,forward,-31,-30,312.1875,15,18
1763695880.02203,forward,-31,-28,312.125,15,18
1763695880.0721395,forward,-31,-30,312.1875,15,18
1763695880.1222508,forward,-30,-29,312.125,15,18
1763695880.172363,forward,-31,-30,312.0625,15,18
1763695880.2224736,forward,-31,-31,311.9375,15,18
1763695880.2725956,forward,-31,-30,311.875,15,18
1763695880.3227077,forward,-32,-31,311.875,15,18
1763695880.3728187,forward,-31,-30,311.8125,15,18
1763695880.4229283,forward,-31,-30,311.875,15,18
1763695880.4730408,forward,-31,-29,311.8125,15,18
1763695880.523153,forward,-31,-31,311.875,15,18
1763695880.573266,forward,-31,-31,311.875,15,18
1763695880.6233773,forward,-31,-31,311.875,15,18
1763695880.673489,forward,-31,-31,311.875,15,18
1763695880.7236025,forward,-31,-30,311.875,15,18
1763695880.7737138,forward,-32,-30,311.875,15,18
1763695880.823826,forward,-31,-32,311.9375,15,18
1763695880.8739467,forward,-32,-32,312.0625,15,18
1763695880.9240599,forward,-30,-29,312.0,15,18
1763695880.9741702,forward,-29,-30,312.0,15,18
1763695881.0242827,forward,-31,-29,312.0,15,18
1763695881.0743952,forward,-31,-30,312.0625,15,18
1763695881.124508,forward,-30,-30,312.0625,15,18
1763695881.1746197,forward,-30,-30,311.9375,15,18
1763695881.224734,forward,-31,-31,312.0,15,18
1763695881.2748466,forward,-31,-29,311.875,15,18
1763695881.324959,forward,-32,-32,311.875,15,18
1763695881.375084,forward,-31,-30,311.875,15,18
1763695881.425197,forward,-31,-31,311.875,15,18
1763695881.4753096,forward,-31,-31,311.875,15,18
1763695881.525422,forward,-31,-30,311.8125,15,18
1763695881.5755334,forward,-31,-30,311.8125,15,18
1763695881.6256466,forward,-30,-29,311.8125,15,18
1763695881.6757586,forward,-31,-31,311.8125,15,18
1763695881.7258723,forward,-30,-30,311.75,15,18
1763695881.7759862,forward,-32,-31,311.75,15,18
1763695881.8260977,forward,-30,-31,311.75,15,18
1763695881.8762102,forward,-32,-32,311.6875,15,18
1763695881.9263208,forward,-31,-30,311.625,15,19
1763695881.9764323,forward,-32,-31,311.5625,15,19
1763695882.0265443,forward,-31,-30,311.5625,15,19
1763695882.0766566,forward,-32,-31,311.5,15,19
1763695882.1267688,forward,-31,-31,311.4375,15,20
1763695882.1768796,forward,-31,-32,311.4375,15,20
1763695882.2269926,forward,-34,-32,311.375,15,20
1763695882.2771046,forward,-31,-34,311.4375,15,21
1763695882.3272183,forward,-33,-33,311.3125,15,21
1763695882.3773293,forward,-33,-35,311.3125,15,21
1763695882.4274473,forward,-34,-34,311.3125,15,21
1763695882.4775577,forward,-33,-34,311.3125,15,22
1763695882.5276675,forward,-33,-34,311.375,15,22
1763695882.5777798,forward,-33,-35,311.4375,15,22
1763695882.6278915,forward,-33,-36,311.5,15,22
1763695882.6780086,forward,-34,-38,311.5625,15,23
1763695882.728121,forward,-34,-36,311.625,15,23
1763695882.7782333,forward,-34,-36,311.6875,15,23
1763695882.8283455,forward,-35,-36,311.6875,15,24
1763695882.8784578,forward,-33,-38,311.875,15,24
1763695882.9285698,forward,-33,-38,311.9375,15,24
1763695882.9786816,forward,-35,-38,312.125,15,24
1763695883.0287921,forward,-34,-38,312.125,15,24
1763695883.0789032,forward,-35,-37,312.1875,15,24
1763695883.1290154,forward,-34,-38,312.3125,15,24
1763695883.179127,forward,-34,-37,312.375,15,23
1763695883.229238,forward,-34,-38,312.4375,15,23
1763695883.2793498,forward,-34,-35,312.4375,15,23
1763695883.3294632,forward,-34,-37,312.5,15,23
1763695883.3795779,forward,-34,-37,312.5,15,22
1763695883.4296904,forward,-35,-36,312.5625,15,22
1763695883.479803,forward,-34,-33,312.5625,15,22
1763695883.5299144,forward,-34,-36,312.5625,15,22
1763695883.5800269,forward,-32,-34,312.5625,15,21
1763695883.6301403,forward,-34,-36,312.625,15,21
1763695883.6802511,forward,-33,-34,312.625,15,21
1763695883.730362,forward,-33,-36,312.6875,15,21
1763695883.7804737,forward,-33,-34,312.6875,15,20
1763695883.8305867,forward,-34,-33,312.625,15,20
1763695883.8807008,forward,-32,-33,312.625,15,20
1763695883.9308121,forward,-33,-32,312.5625,15,19
1763695883.9809246,forward,-33,-32,312.5625,15,19
1763695884.031038,forward,-34,-32,312.4375,15,19
1763695884.0811489,forward,-32,-32,312.5,15,19
1763695884.1312609,forward,-32,-31,312.375,15,18
1763695884.1813731,forward,-31,-31,312.375,15,18
1763695884.231487,forward,-32,-31,312.3125,15,18
1763695884.2815988,forward,-32,-31,312.1875,15,18
1763695884.3317096,forward,-32,-31,312.1875,15,18
1763695884.381821,forward,-31,-29,312.0625,15,18
1763695884.4319332,forward,-32,-32,312.125,15,18
1763695884.4820445,forward,-31,-30,312.0625,15,18
1763695884.5321565,forward,-31,-31,312.125,15,18
1763695884.5822687,forward,-31,-31,312.125,15,18
1763695884.632381,forward,-31,-30,312.125,15,18
1763695884.6824932,forward,-32,-31,312.125,15,18
1763695884.7326052,forward,-31,-30,312.0625,15,18
1763695884.7827158,forward,-32,-31,312.125,15,18
1763695884.8328266,forward,-31,-30,312.1875,15,18
1763695884.8829377,forward,-31,-32,312.25,15,18
1763695884.9330492,forward,-30,-29,312.3125,15,18
1763695884.9831605,forward,-31,-30,312.3125,15,17
1763695885.0332727,forward,-31,-29,312.3125,15,17
1763695885.083384,forward,-31,-30,312.25,15,17
1763695885.133495,forward,-30,-30,312.25,15,17
1763695885.1836066,forward,-30,-30,312.1875,15,17
1763695885.233718,forward,-30,-30,312.1875,15,17
1763695885.28383,forward,-30,-28,312.125,15,17
1763695885.3339415,forward,-31,-30,312.125,15,17
1763695885.384053,forward,-29,-31,312.125,15,17
1763695885.4341638,forward,-33,-31,312.0625,15,17
1763695885.4842746,forward,-30,-30,312.125,15,17
1763695885.5343852,forward,-30,-27,312.0625,15,17
1763695885.5844958,forward,-30,-29,312.0625,15,17
1763695885.634608,forward,-30,-29,312.0,15,17
1763695885.6847198,forward,-30,-29,312.0,15,17
1763695885.734831,forward,-29,-30,312.0,15,17
1763695885.7849424,forward,-31,-30,311.9375,15,17
1763695885.8350549,forward,-31,-30,311.9375,15,17
1763695885.8851676,forward,-31,-30,311.875,15,17
1763695885.9352787,forward,-31,-30,311.875,15,17
1763695885.9853876,forward,-31,-30,311.75,15,17
1763695886.0354974,forward,-31,-29,311.6875,15,17
1763695886.08561,forward,-31,-28,311.6875,15,17
1763695886.1357205,forward,-31,-29,311.5625,15,18
1763695886.1858313,forward,-30,-29,311.5625,15,18
1763695886.2359428,forward,-30,-30,311.5,15,18
1763695886.286054,forward,-31,-30,311.5,15,19
1763695886.3361647,forward,-31,-31,311.4375,15,19
1763695886.3862755,forward,-30,-32,311.3125,15,19
1763695886.4363966,forward,-32,-32,311.375,15,19
1763695886.4865093,forward,-32,-33,311.25,15,20
1763695886.5366216,forward,-33,-33,311.3125,15,20
1763695886.5867338,forward,-32,-32,311.3125,15,20
1763695886.636848,forward,-32,-34,311.375,15,20
1763695886.6869602,forward,-32,-33,311.375,15,21
1763695886.7370732,forward,-33,-34,311.4375,15,21
1763695886.7871838,forward,-34,-35,311.4375,15,21
1763695886.837295,forward,-33,-33,311.5,15,22
1763695886.8874424,forward,-33,-35,311.625,15,22
1763695886.9375541,forward,-32,-36,311.75,15,22
1763695886.9876657,forward,-32,-35,311.8125,15,22
1763695887.0377958,forward,-34,-36,311.9375,15,22
1763695887.0879102,forward,-33,-35,312.0625,15,22
1763695887.1380234,forward,-35,-37,312.0,15,22
1763695887.188138,forward,-35,-33,312.0625,15,22
1763695887.2382505,forward,-33,-36,312.0625,15,22
1763695887.2883637,forward,-34,-36,312.1875,15,22
1763695887.3384757,forward,-34,-34,312.1875,15,22
1763695887.388587,forward,-34,-36,312.1875,15,22
1763695887.438697,forward,-34,-36,312.25,15,22
1763695887.4888084,forward,-34,-35,312.25,15,22
