time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695971.2070591,forward,0,0,304.8125,20,20
1763695971.2571871,forward,-5,-3,304.8125,20,20
1763695971.3072994,forward,-23,-20,304.6875,20,20
1763695971.3574483,forward,-23,-23,304.5625,20,20
1763695971.4075568,forward,-33,-36,304.5625,20,20
1763695971.4576714,forward,-35,-32,304.625,20,20
1763695971.5077832,forward,-38,-36,304.5625,20,20
1763695971.557895,forward,-40,-38,304.5,20,21
1763695971.6080108,forward,-40,-39,304.5,20,21
1763695971.6581254,forward,-45,-41,304.4375,20,21
1763695971.708241,forward,-41,-40,304.4375,20,22
1763695971.7583513,forward,-42,-42,304.375,20,22
1763695971.8084629,forward,-41,-42,304.5,20,22
1763695971.8585756,forward,-42,-40,304.4375,20,22
1763695971.908697,forward,-43,-42,304.5,20,23
1763695971.958813,forward,-43,-41,304.5,20,23
1763695972.0089269,forward,-43,-43,304.625,20,23
1763695972.0590396,forward,-41,-46,304.75,20,23
1763695972.1091518,forward,-42,-43,304.8125,20,23
1763695972.159262,forward,-43,-43,304.8125,20,23
1763695972.209374,forward,-43,-42,304.75,20,23
1763695972.2594874,forward,-43,-43,304.6875,20,23
1763695972.3095996,forward,-43,-43,304.8125,20,23
1763695972.3597105,forward,-43,-43,304.75,20,23
1763695972.409819,forward,-43,-42,304.6875,20,23
1763695972.45993,forward,-44,-43,304.6875,20,23
1763695972.5100427,forward,-43,-42,304.6875,20,23
1763695972.560156,forward,-43,-42,304.625,20,23
1763695972.6102674,forward,-43,-44,304.625,20,23
1763695972.6603777,forward,-43,-43,304.5625,20,23
1763695972.7104905,forward,-43,-43,304.5625,20,23
1763695972.7606013,forward,-43,-43,304.5,20,24
1763695972.8107138,forward,-44,-44,304.4375,20,24
1763695972.8608248,forward,-43,-45,304.4375,20,24
1763695972.910937,forward,-44,-44,304.375,20,24
1763695972.9610484,forward,-44,-44,304.375,20,25
1763695973.011159,forward,-45,-44,304.3125,20,25
1763695973.061269,forward,-44,-44,304.375,20,25
1763695973.1113784,forward,-44,-45,304.3125,20,26
1763695973.161491,forward,-45,-46,304.25,20,26
1763695973.2116053,forward,-45,-47,304.3125,20,26
1763695973.2617197,forward,-45,-47,304.3125,20,27
1763695973.3118343,forward,-45,-48,304.375,20,27
1763695973.3619502,forward,-46,-48,304.4375,20,27
1763695973.4120622,forward,-49,-48,304.5,20,28
1763695973.4621773,forward,-46,-50,304.625,20,28
1763695973.5122907,forward,-45,-51,304.875,20,28
1763695973.5624037,forward,-46,-50,305.0,20,28
1763695973.6125147,forward,-46,-51,305.1875,20,27
1763695973.6626258,forward,-47,-53,305.25,20,27
1763695973.7127426,forward,-44,-45,305.1875,20,27
1763695973.7628617,forward,-49,-53,305.375,20,26
1763695973.8129854,forward,-44,-45,305.4375,20,26
1763695973.8631024,forward,-48,-50,305.4375,20,26
1763695973.9132135,forward,-46,-48,305.4375,20,26
1763695973.9633255,forward,-46,-47,305.375,20,25
1763695974.0134363,forward,-45,-47,305.4375,20,25
1763695974.063548,forward,-46,-46,305.375,20,25
1763695974.113657,forward,-45,-46,305.375,20,25
1763695974.1637666,forward,-46,-45,305.375,20,24
1763695974.2138772,forward,-45,-45,305.375,20,24
1763695974.2639906,forward,-45,-44,305.3125,20,24
1763695974.314102,forward,-46,-45,305.25,20,23
1763695974.3642151,forward,-44,-43,305.1875,20,23
1763695974.4143243,forward,-44,-43,305.125,20,23
1763695974.464436,forward,-44,-43,305.125,20,23
1763695974.5145488,forward,-44,-43,305.0625,20,23
1763695974.5646589,forward,-44,-43,305.0,20,23
1763695974.614772,forward,-44,-44,304.9375,20,23
1763695974.6648836,forward,-45,-42,304.875,20,23
1763695974.7149963,forward,-44,-42,304.875,20,23
1763695974.7651074,forward,-44,-41,304.8125,20,23
1763695974.8152192,forward,-44,-43,304.8125,20,23
1763695974.8653307,forward,-43,-43,304.8125,20,23
1763695974.9154541,forward,-44,-43,304.9375,20,23
1763695974.9655662,forward,-42,-44,305.0625,20,23
1763695975.0156786,forward,-42,-41,305.0625,20,23
1763695975.0657918,forward,-43,-43,305.125,20,23
1763695975.1159024,forward,-43,-43,305.125,20,23
1763695975.166017,forward,-44,-41,305.0,20,23
1763695975.2161329,forward,-46,-46,305.0625,20,23
1763695975.2662437,forward,-44,-42,305.0625,20,23
1763695975.3163571,forward,-43,-42,305.0625,20,23
1763695975.3664699,forward,-44,-43,305.0,20,23
1763695975.416578,forward,-43,-42,304.9375,20,23
1763695975.4666893,forward,-40,-44,304.9375,20,23
1763695975.5168018,forward,-44,-43,304.875,20,23
1763695975.5669146,forward,-43,-40,304.875,20,23
1763695975.6170309,forward,-43,-43,304.875,20,23
1763695975.6671462,forward,-47,-46,304.8125,20,23
1763695975.7172618,forward,-44,-44,304.8125,20,23
1763695975.7673783,forward,-45,-43,304.8125,20,23
1763695975.8174915,forward,-44,-43,304.75,20,23
